_DATE,_NAME,MATCHGAME,PRE_DIFF_FORM,PRE_DIFF_GS,PRE_DIFF_GC,PRE_DIFF_ATTACK_STRENGTH,PRE_DIFF_DEFENCE_STRENGTH,PRE_DIFF_PTS,_SEASON,_LEAGUE,_description,_OUTPUT,averageAgeDiff,shotTotalDiff,shotOnGoalDiff,passTotalDiff,passLongDiff,passSuccessDiff,passForwardDiff,passBackwardDiff,passTargetFinalThirdDiff,passTargetMiddleThirdDiff,passTargetDefensiveThirdDiff,cornerFavourDiff,cornerAgainstDiff,foulReceivedDiff,foulCommitedDiff,assistShotDiff,assistShotIntentionalDiff,assistShotIntentionalGoalDiff,crossFavourTotalDiff,crossFavourSuccessDiff,crossAgainstTotalDiff,offsideCommittedDiff,offsideReceivedDiff,possessionAttackDiff,possessionTotalDiff,possessionDefenceDiff,interceptionDiff,cardYellowDiff,cardRedDiff,tackleTotalDiff,tackleSuccessDiff,dribbleTotalDiff,dribbleSuccessDiff,goalDiff
Sat. 20 Dec.,QP Rangers v West Bromwich,17,-0.3225806451612903,2.0,10.0,0.047961630695443624,0.23980815347721823,-3.0,2014..2015,eng,QPR v West Brom,0,0.3999999999999986,-2,-1,-18,1,-3,-21,-10,-43,7,4,-4,4,-7,7,-5,-4,-2,-5,-2,0,1,0,-29,-9,20,-11,1,0,1,0,1,-1,-1
Sun. 28 Dec.,QP Rangers v Crystal Palace,19,0.22580645161290322,1.0,4.0,0.021276595744680882,0.0851063829787233,2.0,2014..2015,eng,QPR v Crystal Palace,1,0.5,2,4,15,16,9,21,-3,-45,39,24,-1,1,1,-1,0,0,0,4,1,0,0,0,-42,12,54,6,1,0,15,11,-16,-4,0
Thu. 1 Jan.,QP Rangers v Swansea City,20,0.03225806451612906,-3.0,11.0,-0.060975609756097504,0.22357723577235772,-10.0,2014..2015,eng,QPR v Swansea,1,1.1999999999999993,-1,0,-66,15,-60,-39,-23,26,-48,-44,0,0,-7,7,1,1,0,-1,3,0,0,0,20,-75,-95,0,0,0,2,0,-5,-2,1
Sat. 17 Jan.,QP Rangers v Manchester Utd,22,-0.04838709677419353,-11.0,16.0,-0.20220588235294118,0.2941176470588235,-18.0,2014..2015,eng,QPR v Man Utd,2,3.200000000000003,5,1,-151,-17,-144,-74,-81,-56,-77,-21,-2,2,-4,4,2,1,0,-4,-1,0,-1,0,-97,-138,-41,-4,0,0,4,6,-2,2,0
Sat. 7 Feb.,QP Rangers v Southampton,24,-0.4193548387096774,-13.0,25.0,-0.2177554438860972,0.41876046901172526,-23.0,2014..2015,eng,QPR v Southampton,2,3.3000000000000007,-2,0,-14,-4,-19,-10,-4,-5,19,-27,0,0,1,-1,-4,0,0,-3,-1,0,-1,0,-1,-12,-11,-3,1,0,1,1,-3,0,0
Sat. 7 Mar.,QP Rangers v Tottenham,27,-0.22580645161290325,-14.0,9.0,-0.20833333333333326,0.1339285714285714,-22.0,2014..2015,eng,QPR v Tottenham,2,3.0,4,4,-122,5,-127,-62,-66,-62,-50,-19,-4,4,-1,1,6,1,-1,-5,-1,0,0,0,-79,-134,-55,2,0,0,9,9,-7,0,-1
Wed. 4 Mar.,QP Rangers v Arsenal,28,-0.8064516129032258,-23.0,18.0,-0.33141210374639773,0.2593659942363112,-29.0,2014..2015,eng,QPR v Arsenal,2,2.1999999999999993,-2,-3,-81,5,-70,-31,-45,-28,-32,-18,-2,2,-1,1,-4,-3,0,3,-4,0,1,0,-40,-104,-64,13,0,0,3,-3,-6,-6,0
Sun. 22 Mar.,QP Rangers v Everton,30,-0.5161290322580645,-6.0,11.0,-0.08130081300813008,0.14905149051490518,-9.0,2014..2015,eng,QPR v Everton,2,1.7999999999999972,-3,-3,-41,-22,-43,3,-29,9,-15,-19,-1,1,3,-3,-3,-2,0,11,-1,0,0,0,42,-52,-94,0,1,0,-1,1,3,2,-1
Sun. 12 Apr.,QP Rangers v Chelsea,32,-0.4193548387096774,-31.0,28.0,-0.3884711779448621,0.3508771929824562,-48.0,2014..2015,eng,QPR v Chelsea,2,0.1999999999999993,3,2,-107,6,-106,-59,-41,-20,-57,-25,1,-1,-4,4,2,-2,0,1,-3,0,0,0,-66,-109,-43,10,0,0,7,5,0,-2,0
Sat. 25 Apr.,QP Rangers v West Ham Utd,34,0.1935483870967742,-4.0,17.0,-0.0472255017709563,0.20070838252656437,-17.0,2014..2015,eng,QPR v West Ham,1,1.5,3,2,37,16,32,28,3,9,21,0,-5,5,-1,1,3,3,0,2,2,0,0,0,37,28,-9,1,0,0,-7,-5,6,2,0
Sat. 16 May.,QP Rangers v Newcastle Utd,37,-0.16129032258064516,2.0,6.0,0.021834061135371174,0.06550218340611358,-9.0,2014..2015,eng,QPR v Newcastle,0,1.3999999999999986,-9,-6,-6,0,-1,3,-16,-12,6,-9,-6,6,-2,2,-6,-2,0,-6,-2,0,-1,0,-32,-23,9,-3,0,0,9,3,-4,-6,-1
Sat. 23 Aug.,Southampton v West Bromwich,2,-0.5,-1.0,0.0,-0.3846153846153846,0.0,-1.0,2014..2015,eng,Southampton v West Brom,1,-1.4000000000000021,1,1,113,8,113,59,58,32,62,23,-3,3,2,-2,1,1,0,1,-3,0,0,0,45,109,64,1,-1,0,1,0,1,-1,0
Sat. 13 Sep.,Southampton v Newcastle Utd,4,0.28571428571428575,1.0,-2.0,0.12345679012345673,-0.24691358024691357,2.0,2014..2015,eng,Southampton v Newcastle,0,0.40000000000000213,1,-2,-46,12,-50,-26,-22,-14,-26,-10,1,-1,-2,2,1,2,2,0,2,0,2,0,-53,-44,9,-1,-1,0,17,13,-12,-4,2
Sat. 27 Sep.,Southampton v QP Rangers,6,0.5483870967741935,6.0,-8.0,0.4195804195804196,-0.5594405594405595,6.0,2014..2015,eng,Southampton v QPR,0,-2.900000000000002,3,4,48,-7,44,42,15,27,12,18,0,0,-1,1,3,4,0,10,1,0,2,0,11,42,31,0,1,0,12,10,-4,-2,0
Sat. 18 Oct.,Southampton v Sunderland,8,-0.25806451612903225,3.0,-2.0,0.15306122448979598,-0.10204081632653061,5.0,2014..2015,eng,Southampton v Sunderland,0,-0.7000000000000028,-5,-2,-42,-4,-41,-22,-21,7,-41,-9,0,0,-1,1,0,1,2,4,2,0,2,0,-18,-35,-17,5,-2,0,3,2,1,-1,1
Sat. 25 Oct.,Southampton v Stoke City,9,0.06451612903225812,11.0,-4.0,0.4661016949152542,-0.1694915254237288,5.0,2014..2015,eng,Southampton v Stoke,0,-2.0,8,3,129,-5,130,83,61,73,50,23,4,-4,1,-1,5,3,0,10,1,0,-1,0,119,131,12,0,-1,0,-4,-3,-1,1,1
Sat. 8 Nov.,Southampton v Leicester City,11,0.9032258064516129,10.0,-11.0,0.3571428571428572,-0.3928571428571429,13.0,2014..2015,eng,Southampton v Leicester,0,-0.3000000000000007,6,4,116,-7,115,76,60,47,61,27,3,-3,-1,1,4,1,0,15,4,0,4,0,104,115,11,-6,1,0,-4,-4,3,0,0
Sun. 30 Nov.,Southampton v Manchester City,13,-0.06451612903225801,0.0,-7.0,0.0,-0.21538461538461537,2.0,2014..2015,eng,Southampton v Man City,2,-2.6999999999999993,-1,1,-58,-12,-56,-24,-28,-18,-38,4,1,-1,-1,1,-3,1,0,4,0,0,2,0,-76,-61,15,4,-1,0,0,0,2,0,0
Mon. 8 Dec.,Southampton v Manchester Utd,15,-0.8064516129032259,0.0,-6.0,0.0,-0.16129032258064513,1.0,2014..2015,eng,Southampton v Man Utd,2,-1.0999999999999979,5,2,28,-18,27,23,15,8,12,18,2,-2,-2,2,4,5,0,3,2,0,3,0,29,26,-3,0,0,0,3,2,-2,-1,0
Sat. 20 Dec.,Southampton v Everton,17,-0.5967741935483871,-2.0,-11.0,-0.04796163069544368,-0.26378896882494,5.0,2014..2015,eng,Southampton v Everton,0,-3.6999999999999993,0,0,-56,-5,-48,-55,-15,-24,-63,17,-2,2,-5,5,0,0,0,-1,-2,0,0,0,-76,-53,23,8,0,0,14,7,-8,-7,-1
Sun. 28 Dec.,Southampton v Chelsea,19,-0.16129032258064513,-9.0,1.0,-0.1914893617021276,0.021276595744680826,-13.0,2014..2015,eng,Southampton v Chelsea,1,-2.3000000000000007,7,1,-62,6,-60,-42,-31,-55,-25,5,-2,2,-1,1,4,4,1,-9,0,0,-1,0,-87,-66,21,4,-1,0,16,7,-12,-9,0
Thu. 1 Jan.,Southampton v Arsenal,20,-0.25806451612903225,-2.0,-8.0,-0.04065040650406504,-0.16260162601626016,0.0,2014..2015,eng,Southampton v Arsenal,0,0.5,-1,-2,-97,2,-94,-48,-54,-15,-84,-8,0,0,-3,3,1,1,0,-1,4,0,0,0,-87,-93,-6,4,1,0,8,4,-6,-4,1
Sun. 1 Feb.,Southampton v Swansea City,23,0.7419354838709677,11.0,-14.0,0.19298245614035087,-0.24561403508771923,12.0,2014..2015,eng,Southampton v Swansea,2,-0.7000000000000028,5,2,171,4,168,115,90,138,61,6,5,-5,2,-2,3,4,0,28,7,0,-2,0,181,166,-15,-8,-1,0,-4,-2,9,2,0
Wed. 11 Feb.,Southampton v West Ham Utd,25,0.3064516129032258,2.0,-11.0,0.03241491085899506,-0.17828200972447328,8.0,2014..2015,eng,Southampton v West Ham,1,-0.8000000000000007,6,1,82,-5,82,38,43,37,25,19,0,0,1,-1,6,3,0,2,2,0,0,0,57,87,30,5,2,0,-6,1,4,7,0
Sun. 22 Feb.,Southampton v Liverpool,26,-0.25806451612903225,2.0,-12.0,0.031104199066874116,-0.1866251944012441,4.0,2014..2015,eng,Southampton v Liverpool,2,0.8999999999999986,5,4,80,5,68,52,43,48,31,15,4,-4,0,0,3,4,0,12,1,0,0,0,61,69,8,5,-1,0,-2,-1,1,1,-1
Tue. 3 Mar.,Southampton v Crystal Palace,28,-0.5161290322580645,7.0,-18.0,0.10086455331412109,-0.2593659942363113,16.0,2014..2015,eng,Southampton v Crystal Palace,0,-0.29999999999999716,8,3,165,-8,165,99,76,74,69,31,4,-4,2,-2,3,0,0,7,-1,0,0,0,123,168,45,1,-1,0,3,2,0,-1,0
Sat. 21 Mar.,Southampton v Burnley,30,-0.016129032258064502,14.0,-26.0,0.18970189701897022,-0.3523035230352304,25.0,2014..2015,eng,Southampton v Burnley,0,-1.0999999999999979,2,0,92,-6,94,58,45,20,42,42,4,-4,-1,1,0,3,0,9,2,0,0,0,28,88,60,-1,0,0,-5,-1,3,4,1
Sat. 11 Apr.,Southampton v Hull City,32,0.29032258064516125,13.0,-21.0,0.16290726817042606,-0.26315789473684215,25.0,2014..2015,eng,Southampton v Hull,0,-2.3000000000000007,-7,-5,49,13,56,26,25,7,35,8,0,0,-2,2,-7,-3,0,2,-1,0,0,0,9,53,44,6,2,0,-1,-5,-4,-4,0
Sat. 25 Apr.,Southampton v Tottenham,34,-0.3064516129032258,-8.0,-23.0,-0.09445100354191271,-0.2715466351829989,-1.0,2014..2015,eng,Southampton v Tottenham,1,1.2999999999999972,2,1,-129,2,-114,-67,-63,-34,-88,-14,1,-1,3,-3,1,1,-1,-1,0,0,4,0,-69,-121,-52,3,-2,0,-2,-1,3,1,0
Sat. 16 May.,Southampton v Aston Villa,37,-0.7419354838709677,18.0,-20.0,0.19650655021834057,-0.2183406113537118,19.0,2014..2015,eng,Southampton v Aston Villa,0,-1.0,7,5,-77,20,-81,-51,-30,4,-89,3,0,0,-4,4,4,4,0,-4,0,0,1,0,-32,-77,-45,5,-1,0,6,5,-4,-1,4
Sat. 16 Aug.,Stoke City v Aston Villa,1,0,0,0,0,0,0,2014..2015,eng,Stoke v Aston Villa,2,1.0,0,0,84,-5,92,36,34,4,31,38,-3,3,-4,4,1,-2,0,-7,0,0,0,0,18,97,79,4,-1,0,1,4,1,3,0
Sat. 13 Sep.,Stoke City v Leicester City,4,0.35714285714285715,-1.0,-3.0,-0.12345679012345681,-0.37037037037037035,2.0,2014..2015,eng,Stoke v Leicester,2,0.8000000000000007,12,5,97,3,105,59,64,54,66,5,5,-5,4,-4,8,6,0,20,7,0,0,0,115,112,-3,-2,1,0,-14,-6,9,8,0
Mon. 29 Sep.,Stoke City v Newcastle Utd,6,0.06451612903225806,-1.0,-6.0,-0.06993006993006995,-0.4195804195804196,2.0,2014..2015,eng,Stoke v Newcastle,0,1.5,-7,-5,-38,-1,-38,-35,-23,-34,-24,-1,-6,6,-6,6,-4,-1,1,-14,-2,0,2,0,-40,-28,12,1,-1,0,0,0,-2,0,1
Sun. 19 Oct.,Stoke City v Swansea City,8,-0.06451612903225806,-4.0,0.0,-0.20408163265306123,0.0,-3.0,2014..2015,eng,Stoke v Swansea,0,1.5,6,2,-111,-4,-102,-65,-43,23,-92,-40,-1,1,-8,8,3,1,0,2,1,0,0,0,0,-110,-110,1,3,0,-7,-5,3,2,0
Sat. 1 Nov.,Stoke City v West Ham Utd,10,-0.596774193548387,-9.0,-2.0,-0.3474903474903475,-0.07722007722007718,-5.0,2014..2015,eng,Stoke v West Ham,1,-1.0999999999999979,8,3,59,6,60,37,44,41,26,13,4,-4,-2,2,6,2,0,15,6,0,-2,0,84,83,-1,0,0,0,-19,-6,18,13,1
Sat. 22 Nov.,Stoke City v Burnley,12,0.17741935483870974,6.0,-6.0,0.19933554817275748,-0.19933554817275745,8.0,2014..2015,eng,Stoke v Burnley,2,0.1999999999999993,3,2,127,-1,133,82,61,47,60,38,5,-5,-1,1,1,2,0,18,3,0,0,0,99,126,27,-5,0,0,-11,-10,4,1,-1
Sat. 6 Dec.,Stoke City v Arsenal,15,-0.7258064516129031,-8.0,3.0,-0.21505376344086025,0.08064516129032262,-8.0,2014..2015,eng,Stoke v Arsenal,0,2.3000000000000007,3,0,-26,12,-28,-23,0,-18,-13,4,-1,1,-5,5,2,1,2,3,1,0,1,0,-35,-24,11,-4,1,0,5,3,-6,-2,3
Mon. 22 Dec.,Stoke City v Chelsea,17,-0.19354838709677424,-18.0,8.0,-0.4316546762589928,0.19184652278177455,-20.0,2014..2015,eng,Stoke v Chelsea,2,0.5,-2,2,-96,0,-90,-51,-37,-28,-56,-8,0,0,-2,2,-2,-3,-1,4,0,0,1,0,-29,-104,-75,-1,1,0,-6,-6,4,0,-1
Sun. 28 Dec.,Stoke City v West Bromwich,19,0.4838709677419355,1.0,-3.0,0.021276595744680882,-0.06382978723404265,5.0,2014..2015,eng,Stoke v West Brom,0,-1.5999999999999979,-4,-1,62,-3,58,44,27,4,44,22,3,-3,4,-4,-2,-2,0,8,1,0,0,0,19,50,31,-2,0,0,-2,-3,2,-1,0
Thu. 1 Jan.,Stoke City v Manchester Utd,20,0.16129032258064524,-12.0,4.0,-0.24390243902439024,0.08130081300813008,-11.0,2014..2015,eng,Stoke v Man Utd,1,1.2000000000000028,2,1,-128,-3,-146,-67,-58,-18,-78,-30,1,-1,2,-2,2,1,-1,0,4,0,0,0,-86,-132,-46,-4,0,0,3,5,-1,2,0
Sat. 31 Jan.,Stoke City v QP Rangers,23,0.5806451612903225,0.0,-12.0,0.0,-0.21052631578947367,10.0,2014..2015,eng,Stoke v QPR,0,-0.6999999999999993,8,0,45,-6,58,22,40,28,10,24,3,-3,2,-2,5,4,2,11,2,0,3,0,26,57,31,0,-1,0,-3,-5,5,-2,1
Wed. 11 Feb.,Stoke City v Manchester City,25,0.2096774193548387,-20.0,5.0,-0.32414910858995133,0.08103727714748782,-16.0,2014..2015,eng,Stoke v Man City,2,-2.3000000000000007,1,2,-36,-3,-23,-20,-1,-18,-4,1,1,-1,3,-3,1,3,1,11,1,0,0,0,-2,-26,-24,1,-1,0,-19,-10,12,9,0
Sat. 28 Feb.,Stoke City v Hull City,27,-0.16129032258064524,5.0,-1.0,0.07440476190476181,-0.014880952380952439,10.0,2014..2015,eng,Stoke v Hull,0,-0.7999999999999972,8,7,13,-22,22,26,6,27,23,-19,5,-5,-2,2,3,3,0,13,4,0,0,0,55,26,-29,1,2,0,-12,-10,8,2,0
Wed. 4 Mar.,Stoke City v Everton,28,0.6451612903225807,-2.0,-5.0,-0.028818443804034588,-0.07204610951008644,11.0,2014..2015,eng,Stoke v Everton,0,-0.3000000000000007,0,-2,-44,-1,-45,-28,-24,-36,-20,4,-2,2,5,-5,1,2,1,-1,2,0,0,0,-67,-41,26,2,-1,0,6,5,-2,-1,1
Sat. 21 Mar.,Stoke City v Crystal Palace,30,-0.2096774193548387,-1.0,-5.0,-0.01355013550135492,-0.06775067750677516,9.0,2014..2015,eng,Stoke v Crystal Palace,2,-0.10000000000000142,-2,1,23,-5,22,20,3,-2,28,-2,1,-1,-5,5,-3,-3,-1,1,-2,0,0,0,8,16,8,0,2,0,-1,-2,-1,-1,-1
Sat. 18 Apr.,Stoke City v Southampton,33,-0.41935483870967744,-8.0,18.0,-0.09696969696969698,0.2181818181818182,-13.0,2014..2015,eng,Stoke v Southampton,0,1.8000000000000007,2,0,1,-4,1,15,-1,18,5,-9,-1,1,3,-3,1,-1,0,6,1,0,3,0,46,-7,-53,2,-2,0,-8,-8,5,0,-1
Sat. 25 Apr.,Stoke City v Sunderland,34,0.25806451612903225,13.0,-7.0,0.153482880755608,-0.0826446280991735,16.0,2014..2015,eng,Stoke v Sunderland,1,1.6000000000000014,8,7,134,-9,131,94,62,74,65,16,5,-5,5,-5,8,4,0,22,4,0,1,0,104,130,26,-3,-1,0,4,3,-1,-1,0
Sat. 9 May.,Stoke City v Tottenham,36,0.016129032258064557,-16.0,-6.0,-0.17917133258678608,-0.06718924972004481,-11.0,2014..2015,eng,Stoke v Tottenham,0,4.0,7,5,-45,21,-45,-36,0,-7,-38,9,2,-2,-2,2,3,-1,0,6,2,0,3,0,-66,-56,10,-6,-1,0,1,0,-3,-1,2
Sun. 24 May.,Stoke City v Liverpool,38,0.2903225806451613,-9.0,2.0,-0.09513742071881609,0.02114164904862581,-11.0,2014..2015,eng,Stoke v Liverpool,0,2.6000000000000014,8,2,-64,14,-50,-49,-12,-8,-50,-3,-4,4,-9,9,4,-1,0,-3,-2,0,0,0,-10,-38,-28,11,2,0,-4,-5,1,-1,5
Sun. 24 Aug.,Sunderland v Manchester Utd,2,0.5,1.0,0.0,0.3846153846153846,0.0,1.0,2014..2015,eng,Sunderland v Man Utd,1,1.5,3,2,-38,-8,-42,-2,-29,-1,-43,15,0,0,2,-2,5,4,1,2,2,0,1,0,-64,-38,26,-5,0,0,0,1,-2,1,0
Sat. 13 Sep.,Sunderland v Tottenham,4,-0.21428571428571427,-2.0,1.0,-0.24691358024691357,0.12345679012345673,-4.0,2014..2015,eng,Sunderland v Tottenham,1,1.6999999999999993,-7,-7,-201,5,-192,-119,-92,-116,-83,-14,-3,3,1,-1,-6,-3,0,-5,-2,0,-1,0,-187,-198,-11,1,0,0,5,3,-2,-2,0
Sat. 27 Sep.,Sunderland v Swansea City,6,0.20967741935483872,-3.0,0.0,-0.2097902097902098,0.0,-5.0,2014..2015,eng,Sunderland v Swansea,1,-0.5,4,5,-122,-2,-129,-56,-58,-22,-76,-16,6,-6,3,-3,-1,0,0,4,0,0,2,0,-64,-134,-70,0,1,0,5,4,-3,-1,0
Sat. 4 Oct.,Sunderland v Stoke City,7,-0.2580645161290323,0.0,1.0,0.0,0.059171597633136064,-3.0,2014..2015,eng,Sunderland v Stoke,0,-1.2000000000000028,-4,-3,-95,-4,-101,-49,-47,-16,-57,-23,3,-3,4,-4,-5,-2,2,3,1,0,2,0,-47,-98,-51,-2,-1,0,3,3,0,0,1
Sat. 25 Oct.,Sunderland v Arsenal,9,-0.032258064516129004,-5.0,4.0,-0.211864406779661,0.1694915254237288,-3.0,2014..2015,eng,Sunderland v Arsenal,2,1.1000000000000014,-4,1,-126,9,-125,-70,-56,-67,-86,25,1,-1,2,-2,-2,3,0,-5,2,0,0,0,-130,-125,5,3,0,0,-8,-8,5,0,-1
Sun. 9 Nov.,Sunderland v Everton,11,-0.06451612903225801,-8.0,1.0,-0.2857142857142857,0.0357142857142857,-2.0,2014..2015,eng,Sunderland v Everton,1,-1.5,-5,-3,-85,-1,-93,-27,-47,-42,-22,-11,3,-3,-1,1,-6,-2,0,11,2,0,-1,0,-77,-94,-17,-2,0,0,15,8,-14,-7,0
Sat. 29 Nov.,Sunderland v Chelsea,13,-0.4516129032258065,-18.0,8.0,-0.5538461538461539,0.2461538461538461,-19.0,2014..2015,eng,Sunderland v Chelsea,1,0.3000000000000007,-8,-6,-169,4,-176,-92,-70,-120,-49,6,-3,3,0,0,-8,-1,0,-3,-2,0,0,0,-173,-156,17,3,0,1,-8,-1,10,7,0
Wed. 3 Dec.,Sunderland v Manchester City,14,-0.3870967741935484,-15.0,6.0,-0.4335260115606937,0.17341040462427743,-13.0,2014..2015,eng,Sunderland v Man City,2,-0.5999999999999979,-4,3,-183,15,-194,-82,-90,-97,-92,15,1,-1,-3,3,-6,0,-1,2,-1,0,1,0,-186,-197,-11,0,0,0,10,7,-2,-3,-1
Sat. 13 Dec.,Sunderland v West Ham Utd,16,-0.5483870967741935,-13.0,5.0,-0.33078880407124683,0.12722646310432573,-12.0,2014..2015,eng,Sunderland v West Ham,1,-0.5,-6,-3,57,2,46,40,24,13,28,25,-1,1,3,-3,-5,-2,0,3,-1,0,0,0,2,54,52,-4,-1,0,0,2,3,2,0
Fri. 26 Dec.,Sunderland v Hull City,18,0.6290322580645161,0.0,0.0,0.0,0.0,6.0,2014..2015,eng,Sunderland v Hull,2,0.5,4,3,-58,8,-70,-24,-32,-29,-51,23,6,-6,-2,2,0,2,0,2,0,0,0,0,-71,-66,5,3,1,0,-2,-2,2,0,0
Sat. 10 Jan.,Sunderland v Liverpool,21,-0.4677419354838709,-10.0,3.0,-0.19047619047619047,0.05714285714285705,-9.0,2014..2015,eng,Sunderland v Liverpool,2,2.1000000000000014,-6,-2,-29,-5,-38,-2,-19,-4,-43,24,-2,2,4,-4,-7,-4,-1,5,1,0,0,0,-46,-31,15,2,0,0,-5,-7,-1,-2,-1
Sat. 31 Jan.,Sunderland v Burnley,23,-0.32258064516129037,-2.0,-3.0,-0.03508771929824561,-0.052631578947368474,0.0,2014..2015,eng,Sunderland v Burnley,0,0.0,-2,0,12,4,-1,15,-4,-22,5,28,1,-1,-3,3,-3,-3,2,-5,-1,0,0,0,-27,-1,26,-13,0,0,-9,-5,4,4,2
Tue. 10 Feb.,Sunderland v QP Rangers,25,0.5,-2.0,-9.0,-0.03241491085899517,-0.1458670988654781,5.0,2014..2015,eng,Sunderland v QPR,2,-0.8000000000000007,-5,-1,-29,-12,-39,-19,-14,-24,-22,11,-2,2,3,-3,-7,-4,-2,-5,-2,0,0,0,-35,-43,-8,-1,0,0,-5,0,7,5,-2
Sat. 21 Feb.,Sunderland v West Bromwich,26,-0.4516129032258065,-2.0,2.0,-0.031104199066874005,0.031104199066873894,-2.0,2014..2015,eng,Sunderland v West Brom,1,-0.3999999999999986,3,0,94,15,88,50,34,-15,79,20,4,-4,-2,2,3,-1,0,-3,-2,0,0,0,26,98,72,2,-1,0,-2,0,8,2,0
Sat. 14 Mar.,Sunderland v Aston Villa,29,-0.1774193548387097,8.0,1.0,0.11173184357541902,0.013966480446927387,1.0,2014..2015,eng,Sunderland v Aston Villa,2,2.8999999999999986,-6,-3,-63,-2,-69,-38,-33,-41,-25,-5,-1,1,-1,1,-5,-2,-2,0,2,0,1,0,-68,-56,12,6,-1,0,3,6,4,3,-4
Sun. 5 Apr.,Sunderland v Newcastle Utd,31,0.016129032258064516,-10.0,-4.0,-0.13003901170351106,-0.05201560468140454,-9.0,2014..2015,eng,Sunderland v Newcastle,0,2.5,5,5,65,10,55,61,33,51,31,12,6,-6,5,-5,3,1,0,13,4,0,1,0,63,45,-18,-10,0,0,1,0,3,-1,1
Sat. 11 Apr.,Sunderland v Crystal Palace,32,-0.3870967741935484,-14.0,2.0,-0.17543859649122812,0.02506265664160401,-10.0,2014..2015,eng,Sunderland v Crystal Palace,2,-0.3999999999999986,1,-1,11,-6,28,10,11,1,23,-5,0,0,-1,1,3,1,0,4,1,0,0,0,-25,5,30,-2,1,0,19,7,-21,-12,0
Sat. 2 May.,Sunderland v Southampton,35,0.032258064516129004,-21.0,23.0,-0.24165707710011514,0.26467203682393564,-26.0,2014..2015,eng,Sunderland v Southampton,0,1.9000000000000021,3,4,-30,-1,-29,-9,-23,-7,-11,-15,-1,1,-2,2,4,3,0,-1,1,0,0,0,-17,-26,-9,4,1,0,4,2,-2,-2,0
Sat. 16 May.,Sunderland v Leicester City,37,-0.12903225806451613,-11.0,-4.0,-0.12008733624454143,-0.04366812227074235,0.0,2014..2015,eng,Sunderland v Leicester,1,-0.8000000000000007,5,3,25,6,21,-2,17,-27,34,9,-4,4,-3,3,6,3,0,-10,-1,0,2,0,-10,20,30,-4,2,0,3,4,0,1,0
Sat. 23 Aug.,Swansea City v Burnley,2,1.0,1.0,-2.0,0.3846153846153846,-0.7692307692307692,3.0,2014..2015,eng,Swansea v Burnley,0,-1.8000000000000007,3,3,166,2,175,84,78,-20,86,97,0,0,3,-3,2,1,0,2,1,0,1,0,0,174,174,-3,0,0,-4,-1,12,3,1
Sat. 30 Aug.,Swansea City v West Bromwich,3,0.5,1.0,-1.0,0.20408163265306117,-0.2040816326530612,4.0,2014..2015,eng,Swansea v West Brom,0,-0.9000000000000021,4,0,178,1,184,93,91,-2,133,55,0,0,0,0,2,3,1,5,2,0,1,0,52,206,154,8,-1,0,-3,0,4,3,2
Sat. 20 Sep.,Swansea City v Southampton,5,-0.4,0.0,2.0,0.0,0.18018018018018017,2.0,2014..2015,eng,Swansea v Southampton,2,1.1000000000000014,3,2,124,2,129,66,56,0,82,39,0,0,1,-1,3,2,0,-4,1,0,0,0,39,134,95,-1,-1,0,-8,-5,7,3,0
Sat. 4 Oct.,Swansea City v Newcastle Utd,7,0.1774193548387097,3.0,-6.0,0.1775147928994082,-0.35502958579881655,7.0,2014..2015,eng,Swansea v Newcastle,1,0.10000000000000142,3,2,92,-3,100,54,41,-20,79,35,1,-1,2,-2,2,1,0,-2,1,0,3,0,19,106,87,-5,0,0,-5,-3,-2,2,0
Sat. 25 Oct.,Swansea City v Leicester City,9,-0.03225806451612903,0.0,-3.0,0.0,-0.1271186440677966,2.0,2014..2015,eng,Swansea v Leicester,0,-0.5,4,1,86,-9,95,57,37,35,60,0,0,0,1,-1,4,3,1,5,1,0,0,0,68,89,21,0,0,0,-3,-4,1,-1,1
Sun. 9 Nov.,Swansea City v Arsenal,11,-0.29032258064516125,-5.0,-1.0,-0.17857142857142855,-0.035714285714285754,-2.0,2014..2015,eng,Swansea v Arsenal,0,1.1999999999999993,-1,-1,14,7,14,0,15,-16,17,13,1,-1,4,-4,0,0,0,0,-2,0,2,0,-17,13,30,2,1,0,1,0,-1,-1,0
Sat. 29 Nov.,Swansea City v Crystal Palace,13,-0.16129032258064513,-1.0,-8.0,-0.030769230769230826,-0.2461538461538461,6.0,2014..2015,eng,Swansea v Crystal Palace,1,-0.7000000000000028,6,0,123,-6,139,89,43,45,41,46,0,0,5,-5,5,5,1,11,2,0,0,0,82,143,61,2,-1,0,-2,0,3,2,0
Tue. 2 Dec.,Swansea City v QP Rangers,14,-0.16129032258064518,3.0,-11.0,0.08670520231213874,-0.3179190751445087,8.0,2014..2015,eng,Swansea v QPR,0,-1.5999999999999979,8,6,14,-12,37,23,12,33,2,-2,4,-4,2,-2,7,5,0,14,5,0,4,0,54,36,-18,-1,-1,0,-11,-2,11,9,0
Sun. 14 Dec.,Swansea City v Tottenham,16,-0.09677419354838707,2.0,-4.0,0.05089058524173029,-0.10178117048346047,1.0,2014..2015,eng,Swansea v Tottenham,2,2.200000000000003,2,2,31,2,27,43,0,-2,6,37,0,0,8,-8,1,0,-1,6,-2,0,2,0,-50,34,84,-5,-3,0,-6,0,6,6,-1
